Date,Close
1/26/2017 ,29.92
1/27/2017 ,29.11
1/30/2017 ,29.52
1/31/2017 ,29.54
2/1/2017 ,29.21
2/2/2017 ,30.72
2/3/2017 ,32.69
2/6/2017 ,31.79
2/7/2017 ,31.2
2/8/2017 ,31.98
2/9/2017 ,32.37
2/10/2017 ,31.99
2/13/2017 ,32.58
2/14/2017 ,32.68
2/15/2017 ,32.74
2/16/2017 ,31.82
2/17/2017 ,32.3
2/21/2017 ,32.29
2/22/2017 ,32.36
2/23/2017 ,32.44
2/24/2017 ,33.17
2/27/2017 ,33.57
2/28/2017 ,33.22
3/1/2017 ,32.95
3/2/2017 ,33.22
3/3/2017 ,31.77
3/6/2017 ,30.69
3/7/2017 ,30.81
3/8/2017 ,31.77
3/9/2017 ,31.53
3/10/2017 ,31.73
3/13/2017 ,30.9
3/14/2017 ,30.95
3/15/2017 ,30.32
3/16/2017 ,30.41
3/17/2017 ,30.54
3/20/2017 ,29.37
3/21/2017 ,28.42
3/22/2017 ,28.37
3/23/2017 ,28.27
3/24/2017 ,28.17
3/27/2017 ,27.93
3/28/2017 ,28.55
3/29/2017 ,29.27
3/30/2017 ,29.46
3/31/2017 ,29.64
4/3/2017 ,29.64
4/4/2017 ,28.89
4/5/2017 ,28.82
4/6/2017 ,29.42
4/7/2017 ,29.1
4/10/2017 ,29.52
4/11/2017 ,29.71
4/12/2017 ,29.17
4/13/2017 ,29.17
4/17/2017 ,28.82
4/18/2017 ,28.71
4/19/2017 ,29.09
4/20/2017 ,30.01
4/21/2017 ,29.48
4/24/2017 ,29.19
4/25/2017 ,29.28
4/26/2017 ,29.43
4/27/2017 ,29.51
4/28/2017 ,29.22
5/1/2017 ,28.86
5/2/2017 ,29.5
5/3/2017 ,29.16
5/4/2017 ,28.92
5/5/2017 ,28.97
5/8/2017 ,28.67
5/9/2017 ,29.3
5/10/2017 ,29.34
5/11/2017 ,24.35
5/12/2017 ,23.61
5/15/2017 ,23.21
5/16/2017 ,22.82
5/17/2017 ,23.01
5/18/2017 ,22.76
5/19/2017 ,23.01
5/22/2017 ,23.41
5/23/2017 ,23.05
5/24/2017 ,23.18
5/25/2017 ,23.36
5/26/2017 ,23.44
5/30/2017 ,23.6
5/31/2017 ,23.5
6/1/2017 ,24.08
6/2/2017 ,23.81
6/5/2017 ,23.86
6/6/2017 ,21.9
6/7/2017 ,21.81
6/8/2017 ,21.77
6/9/2017 ,22.7
6/12/2017 ,22.67
6/13/2017 ,22.26
6/14/2017 ,22.76
6/15/2017 ,22.73
6/16/2017 ,22.93
6/19/2017 ,22.71
6/20/2017 ,22.1
6/21/2017 ,21.6
6/22/2017 ,22.09
6/23/2017 ,22.27
6/26/2017 ,22.47
6/27/2017 ,23.09
6/28/2017 ,23.18
6/29/2017 ,22.95
6/30/2017 ,23.24
7/3/2017 ,23.84
7/5/2017 ,23.52
7/6/2017 ,22.85
7/7/2017 ,22.68
7/10/2017 ,21.08
7/11/2017 ,21.17
7/12/2017 ,21.23
7/13/2017 ,22.1
7/14/2017 ,22.36
7/17/2017 ,23.05
7/18/2017 ,22.68
7/19/2017 ,22.99
7/20/2017 ,23.07
7/21/2017 ,23.36
7/24/2017 ,22.69
7/25/2017 ,23.49
7/26/2017 ,23.54
7/27/2017 ,24.2
7/28/2017 ,23.93
7/31/2017 ,23.75
8/1/2017 ,23.98
8/2/2017 ,23.17
8/3/2017 ,23.59
8/4/2017 ,23.3
8/7/2017 ,23.56
8/8/2017 ,23.52
8/9/2017 ,23.03
8/10/2017 ,20.67
8/11/2017 ,20.62
8/14/2017 ,20.35
8/15/2017 ,20.29
8/16/2017 ,20.14
8/17/2017 ,19.62
8/18/2017 ,19.49
8/21/2017 ,19.53
8/22/2017 ,20.42
8/23/2017 ,20.5
8/24/2017 ,20.69
8/25/2017 ,21.11
8/28/2017 ,21.16
8/29/2017 ,20.94
8/30/2017 ,20.83
8/31/2017 ,20.77
9/1/2017 ,21.41
9/5/2017 ,21.01
9/6/2017 ,22.17
9/7/2017 ,21.72
9/8/2017 ,21.32
9/11/2017 ,21.48
9/12/2017 ,22.22
9/13/2017 ,22.65
9/14/2017 ,22
9/15/2017 ,22.58
9/18/2017 ,22.1
9/19/2017 ,21.78
9/20/2017 ,21.48
9/21/2017 ,21.16
9/22/2017 ,21.53
9/25/2017 ,21.81
9/26/2017 ,21.87
9/27/2017 ,22.14
9/28/2017 ,22.02
9/29/2017 ,21.82
10/2/2017 ,20.89
10/3/2017 ,21.05
10/4/2017 ,20.63
10/5/2017 ,21.03
10/6/2017 ,20.81
10/9/2017 ,20.35
10/10/2017 ,20.66
10/11/2017 ,20.47
10/12/2017 ,20.24
10/13/2017 ,20.2
10/16/2017 ,19.89
10/17/2017 ,19.95
10/18/2017 ,20.15
10/19/2017 ,20.19
10/20/2017 ,21.17
10/23/2017 ,21.33
10/24/2017 ,21.4
10/25/2017 ,21.24
10/26/2017 ,21.34
10/27/2017 ,19.69
10/30/2017 ,18.84
10/31/2017 ,18.76
11/1/2017 ,18.95
11/2/2017 ,18.78
11/3/2017 ,18.36
11/6/2017 ,18.16
11/7/2017 ,17.53
11/8/2017 ,17.57
11/9/2017 ,19.5
11/10/2017 ,19.98
11/13/2017 ,19.33
11/14/2017 ,19.7
11/15/2017 ,19.98
11/16/2017 ,20.25
11/17/2017 ,20.35
11/20/2017 ,20.8
11/21/2017 ,20.42
11/22/2017 ,20.63
11/24/2017 13:00:00,21.07
11/27/2017 ,21.21
11/28/2017 ,22.17
11/29/2017 ,23.98
11/30/2017 ,23.8
12/1/2017 ,24.19
12/4/2017 ,25.8
12/5/2017 ,25.22
12/6/2017 ,25.09
12/7/2017 ,25.28
12/8/2017 ,25.8
12/11/2017 ,25.89
12/12/2017 ,25.69
12/13/2017 ,25.83
12/14/2017 ,24.8
12/15/2017 ,24.59
12/18/2017 ,25.85
12/19/2017 ,25.25
12/20/2017 ,25.33
12/21/2017 ,25.57
12/22/2017 ,25.67
12/26/2017 ,26.85
12/27/2017 ,25.64
12/28/2017 ,25.72
12/29/2017 ,25.19
1/2/2018 ,26.31
1/3/2018 ,25.33
1/4/2018 ,24.49
1/5/2018 ,24.48
1/8/2018 ,24.44
1/9/2018 ,24.69
1/10/2018 ,25.6
1/11/2018 ,26.3
1/12/2018 ,26.89
1/16/2018 ,25.92
1/17/2018 ,26.24
1/18/2018 ,26.6
1/19/2018 ,27.01
1/22/2018 ,27.25
1/23/2018 ,27.36
1/24/2018 ,27.25
1/25/2018 ,26.64
1/26/2018 ,27.4
1/29/2018 ,27.31
1/30/2018 ,26.25
1/31/2018 ,25.95
2/1/2018 ,25.62
